1. City Bistro | Orders: 80 | Total Sales: $23806
62. El Cafe de la Abuela | Orders: 70 | Total Sales: $18100
63. Ana | Orders: 60 | Total Sales: $18051
64. El Marisco Feliz | Orders: 68 | Total Sales: $18017
65. La Comida Casera | Orders: 60 | Total Sales: $17815
66. The Greenhouse Cafe | Orders: 66 | Total Sales: $17731
67. La Taqueria de la esquina | Orders: 59 | Total Sales: $17727
68. The Trendy Cafe | Orders: 67 | Total Sales: $17724
69. The Urban | Orders: 62 | Total Sales: $17701
70. El Sabor | Orders: 59 | Total Sales: $17695
71. The Corner Place | Orders: 62 | Total Sales: $17656
72. The eatery | Orders: 65 | Total Sales: $17501
73. El Pueblo | Orders: 61 | Total Sales: $17466
74. The House | Orders: 64 | Total Sales: $17463
75. La Cantina de Juan | Orders: 59 | Total Sales: $17428
76. El Cafe del Chef Pablo | Orders: 62 | Total Sales: $17418
77. The elegant Kitchen | Orders: 62 | Total Sales: $17377
78. La Internacional | Orders: 61 | Total Sales: $17307
79. El Asador de la Abuela | Orders: 60 | Total Sales: $17300
80. El Cafe del Valle | Orders: 58 | Total Sales: $17300
81. La Abuela | Orders: 59 | Total Sales: $17209
82. El dragon | Orders: 66 | Total Sales: $17187
83. La Cocina de Pablo | Orders: 59 | Total Sales: $17097
84. Tierra y Mar | Orders: 63 | Total Sales: $17000
85. El Valle | Orders: 58 | Total Sales: $16984
86. El Otro Rincon | Orders: 59 | Total Sales: $16976
87. Cocina Miguel | Orders: 56 | Total Sales: $16939
88. La Taberna del Chef | Orders: 58 | Total Sales: $16937
89. La Cocina | Orders: 63 | Total Sales: $16861
90. Sabor a Mar | Orders: 60 | Total Sales: $16843
91. El Barzon | Orders: 62 | Total Sales: $16827
92. La Rosticeria | Orders: 60 | Total Sales: $16821
93. Ocean | Orders: 63 | Total Sales: $16812
94. La esquina del Taco | Orders: 68 | Total Sales: $16768
95. The Garden Table | Orders: 59 | Total Sales: $16729
96. El Mar | Orders: 61 | Total Sales: $16640
97. The Farm-to-Table | Orders: 61 | Total Sales: $16582
98. The Gourmet Deli | Orders: 63 | Total Sales: $16560
99. The Chic Bistro | Orders: 60 | Total Sales: $16542
100. The Caffeine Spot | Orders: 67 | Total Sales: $16449
101. The Farmhouse Cafe | Orders: 57 | Total Sales: $16414
102. Don Perfecto | Orders: 62 | Total Sales: $16395
103. La Cabana | Orders: 63 | Total Sales: $16383
104. La esquina del Chef | Orders: 61 | Total Sales: $16306
105. El Jardin de los Sabores | Orders: 57 | Total Sales: $16234
106. The Old Town | Orders: 53 | Total Sales: $16147
107. The Green Room | Orders: 54 | Total Sales: $16139
108. La Cocina de la Abuela | Orders: 58 | Total Sales: $16125
109. La Taberna | Orders: 65 | Total Sales: $16117
110. El Patio Andaluz | Orders: 55 | Total Sales: $15986
111. The Modern Palate | Orders: 60 | Total Sales: $15967
112. La Casa del Sabor | Orders: 65 | Total Sales: $15963
113. Harbor Lights Restaurant | Orders: 51 | Total Sales: $15801
114. The Wine Cellar | Orders: 56 | Total Sales: $15800
115. El Mercado del Pueblo | Orders: 56 | Total Sales: $15745
116. El Fogon de la Abuela | Orders: 60 | Total Sales: $15735
117. The Rustic | Orders: 50 | Total Sales: $15710
118. Los Rincones | Orders: 67 | Total Sales: $15638
119. El Cafe del Jardin | Orders: 61 | Total Sales: $15626
120. La Brasserie Gourmet | Orders: 52 | Total Sales: $15559
121. The Bistro at Sunset | Orders: 56 | Total Sales: $15551
122. The Chic Restaurant | Orders: 53 | Total Sales: $15506
123. el Cafe del Centro | Orders: 54 | Total Sales: $15402
124. La Brasserie Parisienne | Orders: 60 | Total Sales: $15350
125. El Cafe de Lola | Orders: 52 | Total Sales: $15344
126. The Park | Orders: 55 | Total Sales: $15306
127. The Trendy Table | Orders: 57 | Total Sales: $15292
128. The Local Bistro | Orders: 50 | Total Sales: $15249
129. El Grande | Orders: 54 | Total Sales: $15221
130. The elegant eatery | Orders: 48 | Total Sales: $15049
131. The Farmhouse | Orders: 61 | Total Sales: $15010
132. The Mediterranean Table | Orders: 57 | Total Sales: $14958
133. Delicias del Valle | Orders: 55 | Total Sales: $14900
134. Bosque Real | Orders: 51 | Total Sales: $14799
135. La Terraza del Valle | Orders: 61 | Total Sales: $14734
136. The Classic Diner | Orders: 58 | Total Sales: $14641
137. Rios | Orders: 51 | Total Sales: $14575
138. The Artisan Table | Orders: 57 | Total Sales: $14500
139. Los Sabores de Aqui | Orders: 55 | Total Sales: $14376
140. The Urban Table | Orders: 50 | Total Sales: $14339
141. The Taste | Orders: 55 | Total Sales: $14303
142. Los Garcia | Orders: 49 | Total Sales: $14182
143. El Jabali | Orders: 56 | Total Sales: $14181
144. The Cafe Bistro | Orders: 55 | Total Sales: $14171
145. El Uro | Orders: 51 | Total Sales: $14148
146. Sabores del Mundo | Orders: 58 | Total Sales: $14115
147. The Rustic Table | Orders: 53 | Total Sales: $14085
148. Skyline Diner | Orders: 49 | Total Sales: $14076
149. El Nuevo Cafe | Orders: 49 | Total Sales: $14049
150. The Table | Orders: 53 | Total Sales: $13971
151. La Plaza de las Tapas | Orders: 51 | Total Sales: $13958
152. La Cocina de Mama | Orders: 51 | Total Sales: $13931
153. La Trattoria Bella | Orders: 55 | Total Sales: $13842
154. El Restaurante de la esquina | Orders: 49 | Total Sales: $13738
155. Por la Playa | Orders: 53 | Total Sales: $13653
156. El Rincon Gourmet | Orders: 48 | Total Sales: $13098
157. La Terraza | Orders: 55 | Total Sales: $13056
158. El Rincon del Mar | Orders: 52 | Total Sales: $13019
159. The Modern eatery | Orders: 49 | Total Sales: $12752
160. The New | Orders: 46 | Total Sales: $12421
161. La Cocina del Mercado | Orders: 44 | Total Sales: $12402
162. The Southern Grill | Orders: 46 | Total Sales: $11955
163. The other place | Orders: 45 | Total Sales: $11842
